| Economy | KOREA, SOUTH |
| Labor force - by occupation: | services: 70.2% (2015 est.) |
| Unemployment rate: | 3.6% (2015 est.) |
| Unemployment rate: | 3.5% (2014 est.) |
| Population below poverty line: | 14.6% (2013 est.) |
| Household income or consumption by percentage share: | lowest 10%: 6.8% |
| Household income or consumption by percentage share: | highest 10%: 37.8% (Q4 2014) |
| Distribution of family income - Gini index: | 30.2 (2014 est.) |
| Distribution of family income - Gini index: | 35.8 (2000) |
| Budget: | revenues: $299.9 billion |
| Budget: | expenditures: $300.1 billion (2015 est.) |
| Taxes and other revenues: | 21.8% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | 0% of GDP (2015 est.) |
| Public debt: | 44.8% of GDP (2015 est.) |
| Public debt: | 43.7% of GDP (2014 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 0.7% (2015 est.) |
| Inflation rate (consumer prices): | 1.3% (2014 est.) |
| Central bank discount rate: | 1.5% (31 December 2015) |
| Central bank discount rate: | 2% (31 December 2014) |
| Commercial bank prime lending rate: | 3.53% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 4.26% (31 December 2014 est.) |
| Stock of narrow money: | $604.2 billion (31 December 2015 est.) |
| Stock of narrow money: | $532.9 billion (31 December 2014 est.) |
| Stock of broad money: | $1.973 trillion (31 December 2014 est.) |
| Stock of broad money: | $1.754 trillion (31 December 2013 est.) |
| Stock of domestic credit: | $2.427 trillion (31 December 2015 est.) |
| Stock of domestic credit: | $2.406 trillion (31 December 2014 est.) |
| Market value of publicly traded shares: | $1.263 trillion (31 December 2015 est.) |
| Market value of publicly traded shares: | $1.269 trillion (31 December 2014 est.) |
| Market value of publicly traded shares: | $1.193 trillion (31 December 2013 est.) |
| Current account balance: | $105.9 billion (2015 est.) |
| Current account balance: | $84.37 billion (2014 est.) |
| Exports: | $548.8 billion (2015 est.) |
| Exports: | $613 billion (2014 est.) |
| Exports - commodities: | semiconductors, petrochemicals, automobile/auto parts, ships, wireless communication equipment, flat display displays, steel, electronics, plastics, computers |
| Exports - partners: | China 26%, US 13.3%, Hong Kong 5.8%, Vietnam 5.3%, Japan 4.9% (2015) |
| Imports: | $428.5 billion (2015 est.) |
| Imports: | $524.1 billion (2014 est.) |
| Imports - commodities: | crude oil/petroleum products, semiconductors, natural gas, coal, steel, computers, wireless communication equipment, automobiles, fine chemical, textiles |
| Imports - partners: | China 20.7%, Japan 10.5%, US 10.1%, Germany 4.8%, Saudi Arabia 4.5% (2015) |
| Reserves of foreign exchange and gold: | $367.9 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $363.6 billion (31 December 2014 est.) |
| Debt - external: | $381.8 billion (31 December 2015 est.) |
| Debt - external: | $407 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $174.6 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $179.2 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $286.9 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $259.3 billion (31 December 2014 est.) |
| Exchange rates: | South Korean won (KRW) per US dollar - |
| Exchange rates: | 1,130.95 (2015 est.) |
| Exchange rates: | 1,052.84 (2014 est.) |
| Exchange rates: | 1,052.96 (2013 est.) |
| Exchange rates: | 1,126.47 (2012 est.) |
| Exchange rates: | 1,108.29 (2011 est.) |
