| Economy | United Kingdom |
| Imports: | $643.5 billion (2012 est.) |
| Imports: | $639.9 billion (2011 est.) |
| Imports - commodities: | manufactured goods, machinery, fuels; foodstuffs |
| Imports - partners: | Germany 12.6%, China 8%, Netherlands 7.5%, US 6.7%, France 5.4%, Belgium 4.4%, Norway 4% (2012) |
| Reserves of foreign exchange and gold: | $105.1 billion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $94.54 billion (31 December 2011 est.) |
| Debt - external: | $10.09 trillion (31 December 2012) |
| Debt - external: | $9.961 trillion (31 December 2011) |
| Stock of direct foreign investment - at home: | $1.321 trillion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $1.185 trillion (31 December 2011 est.) |
| Stock of direct foreign investment - abroad: | $1.808 trillion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $1.696 trillion (31 December 2011 est.) |
| Exchange rates: | British pounds (GBP) per US dollar - |
| Exchange rates: | 0.63 (2012 est.) |
| Exchange rates: | 0.62 (2011 est.) |
| Exchange rates: | 0.65 (2010 est.) |
| Exchange rates: | 0.62 (2009) |
| Exchange rates: | 0.53 (2008) |
