| Economy | ISRAEL |
| GDP (official exchange rate): | $296.1 billion (2015 est.) |
| GDP - real growth rate: | 2.6% (2015 est.) |
| GDP - real growth rate: | 2.6% (2014 est.) |
| GDP - real growth rate: | 3.3% (2013 est.) |
| GDP - per capita (PPP): | $33,700 (2015 est.) |
| GDP - per capita (PPP): | $33,500 (2014 est.) |
| GDP - per capita (PPP): | $33,300 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 24.4% of GDP (2015 est.) |
| Gross national saving: | 23.9% of GDP (2014 est.) |
| Gross national saving: | 23.5% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 55.3% |
| GDP - composition, by end use: | government consumption: 22.3% |
| GDP - composition, by end use: | investment in fixed capital: 18.6% |
| GDP - composition, by end use: | investment in inventories: 0.9% |
| GDP - composition, by end use: | exports of goods and services: 31.2% |
| GDP - composition, by end use: | imports of goods and services: -28.3% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 2.1% |
| GDP - composition, by sector of origin: | industry: 27.2% |
| GDP - composition, by sector of origin: | services: 69.1% (2015 est.) |
| Agriculture - products: | citrus, vegetables, cotton; beef, poultry, dairy products |
| Industries: | high-technology products (including aviation, communications, computer-aided design and manufactures, medical electronics, fiber optics), wood and paper products, potash and phosphates, food, beverages, and tobacco, caustic soda, cement, construction, metal products, chemical products, plastics, cut diamonds, textiles, footwear |
| Industrial production growth rate: | 3.2% (2015 est.) |
| Labor force: | 3.846 million (2015 est.) |
| Labor force - by occupation: | agriculture: 1.1% |
| Labor force - by occupation: | industry: 17.3% |
| Labor force - by occupation: | services: 81.6% (2015) |
| Unemployment rate: | 5.3% (2015 est.) |
| Unemployment rate: | 5.9% (2014 est.) |
| Population below poverty line: | 22% |
| Population below poverty line: | note: Israel's poverty line is $7.30 per person per day (2014 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.7% |
| Household income or consumption by percentage share: | highest 10%: 31.3% (2010) |
| Distribution of family income - Gini index: | 42.8 (2013) |
| Distribution of family income - Gini index: | 39.2 (2008) |
| Budget: | revenues: $77.22 billion |
| Budget: | expenditures: $83.53 billion (2015 est.) |
| Taxes and other revenues: | 26.1% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -2.1% of GDP (2015 est.) |
| Public debt: | 63.3% of GDP (2015 est.) |
| Public debt: | 65.9% of GDP (2014 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | -0.6% (2015 est.) |
| Inflation rate (consumer prices): | 0.5% (2014 est.) |
| Central bank discount rate: | 0.1% (15 December 2015) |
| Central bank discount rate: | 0.25% (31 December 2014) |
| Commercial bank prime lending rate: | 3.46% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 3.91% (31 December 2014 est.) |
| Stock of narrow money: | $63.41 billion (31 December 2015 est.) |
| Stock of narrow money: | $43.13 billion (31 December 2014 est.) |
| Stock of broad money: | $246 billion (31 December 2014 est.) |
| Stock of broad money: | $155.6 billion (31 December 2013 est.) |
| Stock of domestic credit: | $211.6 billion (31 December 2015 est.) |
| Stock of domestic credit: | $201.2 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $183.4 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $148.8 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $122.9 billion (31 December 2013 est.) |
| Current account balance: | $12.27 billion (2015 est.) |
| Current account balance: | $11.54 billion (2014 est.) |
| Exports: | $56.29 billion (2015 est.) |
| Exports: | $63.76 billion (2014 est.) |
| Exports - commodities: | machinery and equipment, software, cut diamonds, agricultural products, chemicals, textiles and apparel |
| Exports - partners: | US 27.5%, Hong Kong 8%, UK 6.1%, China 4.9% (2015) |
| Imports: | $59.49 billion (2015 est.) |
| Imports: | $70.36 billion (2014 est.) |
| Imports - commodities: | raw materials, military equipment, investment goods, rough diamonds, fuels, grain, consumer goods |
| Imports - partners: | US 13%, China 9.3%, Switzerland 7.1%, Germany 6.1%, Belgium 5.3%, Italy 4% (2015) |
| Reserves of foreign exchange and gold: | $90.58 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $86.1 billion (31 December 2014 est.) |
| Debt - external: | $89.36 billion (31 December 2015 est.) |
| Debt - external: | $96.13 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $104.1 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $93.28 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $89.39 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $79.69 billion (31 December 2014 est.) |
| Exchange rates: | new Israeli shekels (ILS) per US dollar - |
| Exchange rates: | 3.8869 (2015 est.) |
| Exchange rates: | 3.5779 (2014 est.) |
| Exchange rates: | 3.5779 (2013 est.) |
| Exchange rates: | 3.86 (2012 est.) |
| Exchange rates: | 3.5781 (2011 est.) |
