| Economy | MALAYSIA |
| Labor force - by occupation: | industry: 36% |
| Labor force - by occupation: | services: 53% (2012 est.) |
| Unemployment rate: | 3.2% (2015 est.) |
| Unemployment rate: | 2.9% (2014 est.) |
| Population below poverty line: | 3.8% (2009 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.8% |
| Household income or consumption by percentage share: | highest 10%: 34.7% (2009 est.) |
| Distribution of family income - Gini index: | 46.2 (2009) |
| Distribution of family income - Gini index: | 49.2 (1997) |
| Budget: | revenues: $56.1 billion |
| Budget: | expenditures: $65.62 billion (2015 est.) |
| Taxes and other revenues: | 18.9% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -3.2% of GDP (2015 est.) |
| Public debt: | 54.5% of GDP (2015 est.) |
| Public debt: | 52.7% of GDP (2014 est.) |
| Public debt: | note: this figure is based on the amount of federal government debt; this includes Malaysian Treasury bills and other government securities, as well as loans raised externally and bonds and notes issued overseas; this figure excludes debt issued by non-financial public enterprises and guaranteed by the federal government |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 2.1% (2015 est.) |
| Inflation rate (consumer prices): | 3.1% (2014 est.) |
| Inflation rate (consumer prices): | note: approximately 30% of goods are price-controlled |
| Central bank discount rate: | 3% (31 December 2011) |
| Central bank discount rate: | 2.83% (31 December 2010) |
| Commercial bank prime lending rate: | 4.57% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 4.67% (31 December 2014 est.) |
| Stock of narrow money: | $83.97 billion (31 December 2015 est.) |
| Stock of narrow money: | $99.12 billion (31 December 2014 est.) |
| Stock of broad money: | $478.7 billion (31 December 2014 est.) |
| Stock of broad money: | $440.3 billion (31 December 2013 est.) |
| Stock of domestic credit: | $390.7 billion (31 December 2015 est.) |
| Stock of domestic credit: | $444.8 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $476.3 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $395.1 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $410.5 billion (31 December 2013 est.) |
| Current account balance: | $8.712 billion (2015 est.) |
| Current account balance: | $14.46 billion (2014 est.) |
| Exports: | $175.7 billion (2015 est.) |
| Exports: | $207.5 billion (2014 est.) |
| Exports - commodities: | semiconductors and electronic equipment, palm oil, petroleum and liquefied natural gas, wood and wood products, palm oil, rubber, textiles, chemicals, solar panels |
| Exports - partners: | Singapore 13.9%, China 13%, Japan 9.5%, US 9.4%, Thailand 5.7%, Hong Kong 4.7%, India 4.1% (2015) |
| Imports: | $147.7 billion (2015 est.) |
| Imports: | $172.9 billion (2014 est.) |
| Imports - commodities: | electronics, machinery, petroleum products, plastics, vehicles, iron and steel products, chemicals |
| Imports - partners: | China 18.8%, Singapore 12%, US 8.1%, Japan 7.8%, Thailand 6.1%, South Korea 4.5%, Indonesia 4.5% (2015) |
| Reserves of foreign exchange and gold: | $95.29 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $115.9 billion (31 December 2014 est.) |
| Debt - external: | $186.5 billion (31 December 2015 est.) |
| Debt - external: | $210.8 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $144.7 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $133.8 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $145.6 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $135.7 billion (31 December 2014 est.) |
| Exchange rates: | ringgits (MYR) per US dollar - |
| Exchange rates: | 3.9055 (2015 est.) |
| Exchange rates: | 3.27 (2014 est.) |
| Exchange rates: | 3.27 (2013 est.) |
| Exchange rates: | 3.09 (2012 est.) |
| Exchange rates: | 3.06 (2011 est.) |
